dealerId,capdb,domain,homepage,c
4884,LEA8707,bestbuysubaru.com,http://www.bestbuysubaru.com/index.htm,2
15206,LEA8009,bevsmithkia.net,http://www.bevsmithkia.net/,2
15207,LEA9690,bevsmithkia.net,http://www.bevsmithkia.net/,2
14053,LEA8848,bighorntoyota.com,http://www.bighorntoyota.com/,2
10732,LEA3996,bighorntoyota.com,http://www.bighorntoyota.com/,2
4697,LEA6550,bigislandhonda.com,http://www.bigislandhonda.com/,2
9098,LEA6380,bigislandhonda.com,http://www.bigislandhonda.com/,2
15817,LEA6347,bigislandmotors.com,http://www.bigislandmotors.com/,2
11024,LEA6551,bigislandmotors.com,http://www.bigislandmotors.com/,2
9619,LEA14026,billcaroneford.com,http://billcaroneford.com/,2
11166,LEA14688,billcaroneford.com,http://billcaroneford.com/,2
9620,LEA14028,billcaronegm.com,http://www.billcaronegm.com/,2
10222,LEA14689,billcaronegm.com,http://www.billcaronegm.com/,2
14917,LEA8106,billionauto.com,http://www.billionauto.com,2
1434,LEA13366,billionauto.com,https://www.billionauto.com/,2
13392,LEA4935,billjacobsmazda.com,http://billjacobsmazda.com/,2
13391,LEA3203,billjacobsmazda.com,http://billjacobsmazda.com/,2
13219,LEA12166,billsnethkamp.com,http://www.billsnethkamp.com/,2
16632,LEA12862,billsnethkamp.com,http://www.billsnethkamp.com/,2
13446,LEA17762,billwalshstreator.com,http://www.billwalshstreator.com/,2
15423,LEA16265,billwalshstreator.com,http://www.billwalshstreator.com/,2
11742,LEA8835,bmwoftenafly.com,http://www.bmwoftenafly.com/,2
10741,LEA8584,bmwoftenafly.com,http://www.bmwoftenafly.com/,2
4046,LEA17778,bmwwest.com,http://www.bmwwest.com/index.htm,2
3753,LEA4453,bmwwest.com,http://www.bmwwest.com/index.htm,2
17266,LEA14712,bobkingmb.com,http://www.bobkingmb.com/,2
9595,LEA14032,bobkingmb.com,http://www.bobkingmb.com/,2
14021,LEA8728,bobpenkhusvolvo.com,http://www.bobpenkhusvolvo.com/index.htm,2
1640,LEA4531,bobpenkhusvolvo.com,http://www.bobpenkhusvolvo.com/,2
13478,LEA17084,bobridingschryslerdodge.com,http://www.bobridingschryslerdodge.com/index.htm,2
13479,LEA17097,bobridingschryslerdodge.com,http://www.bobridingschryslerdodge.com/index.htm,2
678,LEA719,bonanzafordofwray.com,http://bonanzafordofwray.com/,2
150,LEA4415,bonanzafordofwray.com,http://bonanzafordofwray.com/,2
5206,LEA17667,bonhamchrysler.com,http://www.bonhamchrysler.com/,2
5212,LEA3804,bonhamchrysler.com,http://www.bonhamchrysler.com/,2
6556,LEA8701,boydauto.com,http://www.boydauto.com/,2
6649,LEA8704,boydauto.com,http://www.boydauto.com/,2
14004,LEA4185,brightonfordco.com,http://brightonfordco.com/,2
11471,LEA728,brightonfordco.com,http://brightonfordco.com/,2
2683,LEA14592,brunermotors.com,http://www.brunermotors.com/,2
16438,LEA3802,brunermotors.com,http://www.brunermotors.com/,2
2056,LEA13981,buddysbuick.com,http://www.buddysbuick.com/,2
1080,LEA14491,buddysbuick.com,http://www.buddysbuick.com/,2
582,LEA717,burlington-limonford.com,http://www.burlington-limonford.com/,2
1057,LEA4193,burlington-limonford.com,http://www.burlington-limonford.com/,2
8147,LEA10852,burnschevycadillac.com,http://www.burnschevycadillac.com/,2
3935,LEA12287,burnschevycadillac.com,http://www.burnschevycadillac.com/,2
11521,LEA5321,buypatriot.com,http://www.buypatriot.com/,2
6912,LEA9161,buypatriot.com,http://www.buypatriot.com/,2
16835,LEA6794,cambridgeautogroup.com,http://www.cambridgeautogroup.com/,2
16836,LEA7213,cambridgeautogroup.com,http://www.cambridgeautogroup.com/,2
9217,LEA8062,capitaleurocars.com,http://www.capitaleurocars.com/,2
1254,LEA8371,capitaleurocars.com,http://www.capitaleurocars.com/,2
10097,LEA14038,capitallincolncary.com,http://capitallincolncary.com/,2
1768,LEA14730,capitallincolncary.com,http://capitallincolncary.com/,2
6587,LEA11050,capitolchevy.com,http://www.capitolchevy.com/,2
7100,LEA14124,capitolchevy.com,http://www.capitolchevy.com/,2
10721,LEA5207,cargillchev.com,http://www.cargillchev.com/,2
10722,LEA5260,cargillchev.com,http://www.cargillchev.com/,2
16414,LEA1519,carsoncityhyundai.com,http://www.carsoncityhyundai.com/,2
5341,LEA1844,carsoncityhyundai.com,http://www.carsoncityhyundai.com/,2
9302,LEA2123,carsontoyota.com,http://www.carsontoyota.com/,2
5597,LEA2124,carsontoyota.com,http://www.carsontoyota.com/,2
9949,LEA4895,carterchevrolet.com,http://www.carterchevrolet.com/,2
5385,LEA18,carterchevrolet.com,http://www.carterchevrolet.com/,2
3704,LEA2134,casachryslerjeep.com,http://www.casachryslerjeep.com/,2
15552,LEA1965,casachryslerjeep.com,http://www.casachryslerjeep.com/index.htm,2
8429,LEA6806,cavenderbuickgmcwest.com,http://www.cavenderbuickgmcwest.com/,2
10650,LEA14584,cavenderbuickgmcwest.com,http://www.cavenderbuickgmcwest.com/,2
4328,LEA9409,cawoodauto.com,http://www.cawoodauto.com/,2
4758,LEA9413,cawoodauto.com,http://www.cawoodauto.com/,2
4355,LEA15702,centurydodgechryslerjeep.com,http://www.centurydodgechryslerjeep.com/index.htm,2
2868,LEA9458,centurydodgechryslerjeep.com,http://www.centurydodgechryslerjeep.com/index.htm,2
3207,LEA16047,championcjdindiana.com,http://www.championcjdindiana.com,2
4274,LEA16174,championcjdindiana.com,http://www.championcjdindiana.com/index.htm,2
9671,LEA13968,chandlernissan.com,http://www.chandlernissan.com/,2
15276,LEA14483,chandlernissan.com,http://www.chandlernissan.com/,2
4289,LEA8102,chathamford.net,http://www.chathamford.net/,2
11580,LEA8104,chathamford.net,http://www.chathamford.net/,2
1481,LEA17527,chesterchryslercenter.com,http://www.chesterchryslercenter.com/index.htm,2
1482,LEA3493,chesterchryslercenter.com,http://www.chesterchryslercenter.com/,2
4011,LEA17364,chevystore.com,http://www.chevystore.com/index.htm,2
3116,LEA4717,chevystore.com,http://www.chevystore.com/index.htm,2
12544,LEA12964,chryslerjeepofnorthbroward.com,http://www.chryslerjeepofnorthbroward.com/,2
12545,LEA17546,chryslerjeepofnorthbroward.com,http://www.chryslerjeepofnorthbroward.com/,2
15663,LEA9171,chrysleronnicholasville.net,http://www.chrysleronnicholasville.net/,2
15664,LEA9213,chrysleronnicholasville.net,http://www.chrysleronnicholasville.net/,2
