Account Name,CAPdb Rating,# of Cars Sold Per Month*,Vehicles in Inventory*,# of Salespeople employed*,Single or Multi Point Store*,Current DMS being Utilized*,Current DMS being Utilized (If Other)
Drd Used Car Sales,no rating,,,,,,
Dream 4x4,,,,,,,
Dream Auto Group Llc,B,31-49,100,10-Jun,Single,Frazer,
Dream Automotives,no rating,,,,,,
Dream Cars,no rating,,,,,,
Dream Car Sales,D,15-Jan,15,0-5,Multi Point,Frazer,
Dream Cars Austin,A,50+,150,0-5,Multi Point,ProMax,
Dream Cars Auto Dealers,C,16-30,50,0-5,Single,Frazer,
Dream Cars Auto Sales and Leasing,D,15-Jan,30,0-5,Single,None,
Dream Cars Boutique LLC,no rating,,,,,,
Dream Cars By Bussinger,C,16-30,70,0-5,Single,ProMax,
"Dream Cars II, Inc",,,,,,FEX (FinanceExpress),
Dream Cars International,C,15-Jan,3,0-5,Single,None,
Dream Cars Of Naples,D,15-Jan,3,0-5,Single,None,
Dream Cars Unlimited,,,,,,,
Dream Cars Unlimited,A,50+,153,,,,
Dream City Auto Sales,B,,115,,,,
"Dream Deals on Wheels, LLC",,,,,,,
DreamFleet,,,,,,,
Dream Fresh Automotive LLC,D,15-Jan,12,0-5,Single,,
Dreamline Motors,no rating,,,,,,
Dream Machines - Cedar Falls,no rating,,,,,,
Dream Machines - Wichita,no rating,,,,,,
Dream Motor Cars,,,,,,,
Dream Motor Cars,C,16-30,45,0-5,Single,AutoManager (DeskManager),
Dream Motors,,,,,,,
DREAM RIDES,A,50+,300,10-Jun,Single,Frazer,
Dream Rod Locator,,,,,,,
Dream Wheels Jax,B,31-49,100,0-5,Single,Wayne Reaves,
Dreamworks Motor Cars,D,15-Jan,50,0-5,Single,None,
Dreier Auto Sales,D,15-Jan,20,0-5,Single,,
Dreisbach's Auto Service & Sales,no rating,,,,,,
Dre Motors,no rating,,,,,,
Dresel's Auto Sales,B,15-Jan,25,0-5,Single,LotWizard,
Dressing Vroom Car Co Inc,no rating,,,,,,
Drewel's Used Cars & Trucks,,,,,,,
Drew Enterprises Auto Sales,no rating,,,,,,
Drew Ford,C,0-100,17,0-5,Single,Reynolds,
Drew International Brokerage LLC,A,31-49,215,0-5,Single,Frazer,
Drexel Auto Sales,no rating,,,,,,
Drexel Hill Nissan,B,101-175,192,10-Jun,Single,ADP,
Dreyer & Reinbold Inc,no rating,,141,,Multi,DealerTrack,
Dreyer & Reinbold Mini,B,0-100,329,0-5,Multi,DealerTrack,
Dreyer & Reinbold Subaru,no rating,0-100,161,0-5,Multi,Reynolds,
Dreyer-Reinbold Inc.,A,0-100,287,11/15/2015 0:00,Multi,DealerTrack,
Dreyer Reinbold Infiniti,A,0-100,153,6/10/2015 0:00,Multi,DealerTrack,
Drezdner Chevrolet Corp,A,,58,,,,
Driftway Auto Sales,D,15-Jan,15,0-5,Single,None,
Driftwood Auto Sales,no rating,,,,,,
Drink Docker,,,,,,,
Drinkwater's Auto Sales,D,15-Jan,20,0-5,Single,Other,
Driscoll Motors,B,0-100,110,0-5,Single,Reynolds,
Driscoll Motors,B,15-Jan,100,10-Jun,Single,None,
Drive & Go,no rating,,,,,,
Drive & Go - 2,A,31-49,75,0-5,Multi Point,DealerTrack,
Drive1Again,B,31-49,50,10-Jun,Single,Other,IDS
Drive 1 Car And Truck LLC,B,31-49,50,0-5,Single,Frazer,
Drive 1 of Killeen,B,31-49,100,0-5,Single,DealerClick,DealerClick
Drive 512 Auto Ranch,B,31-49,50,0-5,Single,None,
Drive 5280,B,31-49,50,0-5,Single,Frazer,
Drive A Car Auto Sales,C,16-30,40,0-5,Single,AutoSoft,
Drive America,A,,150,,,,
Drive And Save,no rating,,,,,,
"Drive ASAP Auto Sales, LLC",no rating,,,,,,
Drive Auto,,,,,,,
Drive Auto & Truck Sales,B,31-49,50,0-5,Single,None,
Drive Auto Center,B,31-49,57,10-Jun,Single,AutoManager (DeskManager),
Drive Auto LLC,,,,,,,
Drive Automotive,B,31-49,,0-5,Single,Frazer,
Drive Auto Sales,no rating,,,,,FEX (FinanceExpress),
Drive Auto Sales - Cold Spring,no rating,,,,,,
Drive Autos LLC,,,,,,,
Driveaway Auto Financial,no rating,,,,,,
Drive Away Autos - Airline Drive,A,101-175,300,Over 50,Multi,ProMax,
Drive Away Auto Sales,no rating,,,,,,
Drive Away Cars,D,15-Jan,15,,Single,Frazer,
Drive Away Enterprises Corp,C,16-30,70,0-5,Multi Point,Wayne Reaves,
Drive Away Motors - Culebra Road,no rating,,,,,,
Drive Away Motors - Loop 410,no rating,,,,,,
Drive Away Motors - Ruckersville,D,15-Jan,50,,,,
Drive Canada Motors Inc,no rating,,,,,,
Drive Care LLC,,,,,,,
DriveCasa,no rating,,,,,FEX( FinanceExpress),
Drive Clean Or Die Auto Spa & Used Cars,,,,,,,
DriveCo Motors,,,,,,,
DriveDominion,,,,,,,
"Drive Easy, LLC",,,,,,,
Drive Easy Auto Sales - Alexander,D,15-Jan,15,0-5,Multi Point,Other,
Drive Easy Auto Sales - Little Rock,D,15-Jan,25,0-5,Multi Point,Other,
Drive European Auto Service,no rating,,,,,,
Drive For Less,,,,,,,
Drive Happy Auto Sales & Repair,A,50+,150,15-Nov,Single,DealerClick,DealerClick
Drive Here Philadelphia,B,,100,,,,
Drive Home America Inc,,,,,,,
Drive In Auto,C,16-30,20,0-5,Single,FEX (FinanceExpress),
Drive in Auto Sales,no rating,,,,,,
Drive In Motors,C,16-30,45,0-5,Single,Frazer,
Drive It Away,D,15-Jan,15,0-5,Single,None,
Driveline,,,,,,,
Driveline Motors,D,15-Jan,25,0-5,Single,Other,Cars4Sale.com
DriveLink,B,31-49,55,0-5,Multi Point,Other,
Drive Luxury Llc,B,31-49,100,10-Jun,Single,Frazer,
Drivemaster,C,16-30,50,0-5,Single,Other,
DriveMax,C,16-30,65,,,,
Drivemax,B,31-49,100,10-Jun,Single,Frazer,
Drive Max,no rating,,30,,,,
Drive Max Auto Sale,no rating,,90,,,,
Drive Motorcars LLC,B,31-49,100,0-5,Single,Frazer,
DriveNation,A,,,,,Reynolds,Reynolds
Drive Nation Auto Sales,B,31-49,100,0-5,Single,Frazer,
DriveNation Prince Albert,no rating,,,,,PBS,
DriveNation Regina,C,16-30,,,Multi Point,PBS,
DriveNation Saskatoon,,,,,,,
Driven Automotive,,,,,,,
Driven Automotive Group,A,,,,,FEX( FinanceExpress),
Driven Automotive LLC,B,31-49,65,0-5,Multi Point,Frazer,Dealer Services
Driven Auto Sales,no rating,,,,,FEX (FinanceExpress),
"Driven Auto Sales, LLC",,,,,,iDMS,
Driven Auto Sales - Hot Springs,D,15-Jan,15,0-5,Single,None,
Driven Auto Sales - Silex,B,31-49,80,0-5,Single,Frazer,
Drive N Buy,D,15-Jan,35,0-5,Single,Other,Quick Books
Drive N Buy Auto Sales,C,16-30,30,0-5,Single,AutoManager (DeskManager),
Driven Car Company,B,31-49,65,0-5,Single,Frazer,
Drive N Go,C,16-30,30,0-5,Single,DealerCenter (Westlake),
Driven Motors,D,15-Jan,,10-Jun,Single,LotWizard,LotWizard
Driven Motors - Alexander,D,15-Jan,10,0-5,Single,,
Driven Motorsports Llc,no rating,,,,,,
Drive Now,,,,,,,
"Drive Now, LLC DBA Drive Now Auto Credit",C,16-30,30,0-5,Single,None,
Drive Now Auto Credit,,,,,,,
Drive Now Auto Credit,no rating,15-Jan,,,,,
Drive Now Automotive,,,,,,FEX (FinanceExpress),
Drive Now Auto Sales,,,,,,FEX (FinanceExpress),
Drive Now Auto Sales,,,,,,,
Drive Now Auto Sales,C,16-30,60,0-5,Single,Frazer,
Drive Now Auto Sales Inc.,D,15-Jan,25,0-5,Single,Frazer,
Drive Now - Columbia,A,31-49,75,0-5,Multi Point,DealerTrack,
Drive Now - Cookeville,A,31-49,90,0-5,Multi Point,DealerTrack,
Drive Now - Dickson,A,31-49,55,0-5,Multi Point,DealerTrack,
Drive Now - Franklin,A,31-49,60,0-5,Multi Point,DealerTrack,
Drive Now - Lebanon,A,16-30,40,0-5,Multi Point,DealerTrack,
"Drive Now Motors, LLC",,16-30,30,0-5,Single,Frazer,
Drive Now - Murfreesboro,A,31-49,50,0-5,Multi Point,DealerTrack,
Drivenow Trucks,C,16-30,20,0-5,Single,Wayne Reaves,
Drive Now - Tullahoma,A,31-49,50,0-5,Multi Point,DealerTrack,
Driven Performance,,,,,,,
Driven Preowned,B,31-49,100,0-5,Single,Comsoft (Money Maker),
Driven Rods & Rides Inc,no rating,,,,,,
Driven Your Way,,,,,,,
"Drive On Auto, LLC",,,,,,,
Drive On Autos Llc,,,,,,,
DriveOne Automotive,D,15-Jan,30,0-5,Single,Frazer,
Drive On Time Motors Inc,C,16-30,40,0-5,Single,Frazer,
Drive Out Auto Sales,no rating,,,,,FEX (FinanceExpress),
Drive Out Motors,,,,,,,
"Driveout Motors, LLC",,,,,,FEX (FinanceExpress),
DrivePanda.com,,,,,,,
Drive Point,,,,,,,
DrivePros,,,,,,,
Driver's Choice,no rating,,,,,,
Driver's Choice - White Oak,B,31-49,,10-Jun,Single,AutoManager (DeskManager),
Driver's Den Auto Sales,C,16-30,25,0-5,Single,DealerCenter (Westlake),
Driver's Village FIAT,,,,,,,
Drive Right,A,50+,100,0-5,Multi Point,Other,MTS
Driveright Auto Sales,C,16-30,50,0-5,Single,DealerSolutions (KGI),
Drive Right Auto Sales - New Windsor,,,,,,,
Drive Rite Auto Sales,C,16-30,20,0-5,Single,Frazer,
Driver Motors,B,,245,,,,
Drivers Car & Truck Sales,no rating,,,,,,
Drivers Choice,No rating,,,,,,
Drivers Choice,D,15-Jan,20,0-5,Single,Wayne Reaves,
Drivers Choice Auto & Truck,,,,,,,
Drivers Choice Auto & Truck LLC,A,50+,50,0-5,Single,AutoManager (DeskManager),
Drivers Delight,no rating,,,,,,
Driver Seat Auto Sales Ll,D,15-Jan,35,0-5,Single,Frazer,
Drivers Mart,A,,,,,DealerTrack(Arkona),
Drivers Max LLC,,,,,,,
Drivers Park Inc.,,,,,,,
Driversselect,A,,300,,,,
Drivers Way Inc.,A,101-175,,,,,
Drivers World,A,50+,550,15-Nov,Multi Point,ADP,
Driverz Auto,,,,,,Quorum,
DriveSac,C,16-30,60,0-5,Single,None,
"Drive Smart, Inc.",A,50+,42,,,FEX( FinanceExpress),FEX( FinanceExpress)
DriveSmart Motors,,,,,,,
Drive Social Online,,,,,,,
Drive Something Used,no rating,,,,,,
Drive Sweet LLC,,,,,,,
Drive Time,no rating,,,,,,
DriveTime-Albuquerque 1,A,31-49,50,10-Jun,Multi Point,AutoStar,
DriveTime-Albuquerque 2,A,50+,91,10-Jun,Multi Point,AutoStar,
DriveTime-Albuquerque 3,A,31-49,50,10-Jun,Multi Point,AutoStar,
DriveTime-Anitoch,A,50+,82,10-Jun,Multi Point,AutoStar,
DriveTime - Arlington,A,50+,84,10-Jun,Multi Point,Other,DeskIt Proprietary
DriveTime-Augusta,A,50+,122,15-Nov,Multi Point,AutoStar,
DriveTime-Aurora,A,50+,82,10-Jun,Multi Point,AutoStar,
DriveTime-Austin,A,31-49,65,10-Jun,Multi Point,AutoStar,
DriveTime-Birmingham,A,50+,94,10-Jun,Multi Point,AutoStar,
DriveTime-Boardman,A,50+,77,10-Jun,Multi Point,AutoStar,
DriveTime-Bradenton,A,31-49,46,10-Jun,Multi Point,AutoStar,
DriveTime-Camelback,A,31-49,50,10-Jun,Multi Point,AutoStar,
"DriveTime Car Sales Company, LLC",no rating,300+,,,,Other,
DriveTime-Chandler,A,31-49,40,10-Jun,Multi Point,AutoStar,
DriveTime-Charleston,A,50+,72,10-Jun,Multi Point,AutoStar,
DriveTime-Charlotte 1,A,31-49,51,10-Jun,Multi Point,AutoStar,
DriveTime-Charlotte 2,A,31-49,67,10-Jun,Multi Point,AutoStar,
DriveTime-Charlotte 3,A,50+,99,10-Jun,Multi Point,AutoStar,
DriveTime - Chattanooga,A,50+,82,10-Jun,Multi Point,AutoStar,
DriveTime-Chesapeake,A,31-49,60,10-Jun,Multi Point,AutoStar,
DriveTime-Cincinnati,A,50+,95,10-Jun,Multi Point,AutoStar,
DriveTime-Clearwater,A,50+,88,10-Jun,Multi Point,AutoStar,
DriveTime-Cleveland,A,50+,88,10-Jun,Multi Point,AutoStar,
DriveTime-Columbia,A,50+,78,10-Jun,Multi Point,AutoStar,
DriveTime-Columbus GA,A,50+,76,10-Jun,Multi Point,AutoStar,
DriveTime-Columbus OH 1,A,50+,91,10-Jun,Multi Point,AutoStar,
DriveTime-Columbus OH 2,A,50+,131,15-Nov,Multi Point,AutoStar,
DriveTime-Concord,A,31-49,40,10-Jun,Multi Point,AutoStar,
DriveTime-Conway,A,50+,94,10-Jun,Multi Point,AutoStar,
DriveTime-Conyers,A,31-49,68,10-Jun,Multi Point,AutoStar,
DriveTime-Corpus Christi,A,50+,80,10-Jun,Multi Point,AutoStar,
DriveTime-Dallas 1,A,50+,79,10-Jun,Multi Point,AutoStar,
DriveTime-Dallas 2,A,50+,93,10-Jun,Multi Point,AutoStar,
DriveTime-Denver,A,31-49,59,10-Jun,Multi Point,AutoStar,
DriveTime-Downey,A,31-49,65,10-Jun,Multi Point,AutoStar,
DriveTime-Duluth,A,50+,78,10-Jun,Multi Point,AutoStar,
DriveTime-Fairfield,A,50+,95,10-Jun,Multi Point,AutoStar,
DriveTime-Fayetteville,A,50+,73,10-Jun,Multi Point,AutoStar,
DriveTime-Forth Worth 1,A,31-49,55,10-Jun,Multi Point,AutoStar,
DriveTime-Forth Worth 2,A,50+,95,10-Jun,Multi Point,AutoStar,
DriveTime-Fort Myers,A,50+,93,10-Jun,Multi Point,AutoStar,
DriveTime-Gainsville,A,50+,92,10-Jun,Multi Point,AutoStar,
DriveTime-Gladstone,A,50+,90,10-Jun,Multi Point,AutoStar,
DriveTime-Glen Burnie,A,50+,71,10-Jun,Multi Point,AutoStar,
DriveTime-Glendale,A,31-49,68,10-Jun,Multi Point,AutoStar,
DriveTime-Greensboro,A,31-49,63,10-Jun,Multi Point,AutoStar,
DriveTime-Greenville,A,50+,72,10-Jun,Multi Point,AutoStar,
DriveTime-Henrico,A,31-49,56,10-Jun,Multi Point,AutoStar,
DriveTime-Hialeah,A,50+,105,15-Nov,Multi Point,AutoStar,
DriveTime-Hickory Hills,A,50+,85,10-Jun,Multi Point,AutoStar,
DriveTime-Highland,A,50+,97,10-Jun,Multi Point,AutoStar,
DriveTime-Houston 1,A,50+,73,10-Jun,Multi Point,AutoStar,
DriveTime-Houston 2,A,31-49,50,10-Jun,Multi Point,AutoStar,
DriveTime-Houston 3,A,50+,133,15-Nov,Multi Point,AutoStar,
DriveTime-Houston 4,A,31-49,57,10-Jun,Multi Point,AutoStar,
DriveTime-Houston 5,A,50+,70,10-Jun,Multi Point,AutoStar,
DriveTime-Huntsville,A,31-49,63,10-Jun,Multi Point,AutoStar,
DriveTime-Independence,A,50+,74,10-Jun,Multi Point,AutoStar,
DriveTime-Indianapolis,A,50+,111,15-Nov,Multi Point,AutoStar,
DriveTime-Indianapolis & Lafayette,A,50+,139,10-Jun,Single,AutoStar,
DriveTime-Irving,A,50+,77,10-Jun,Multi Point,AutoStar,
DriveTime-Jackson,A,50+,102,15-Nov,Multi Point,AutoStar,
DriveTime-Jacksonville 1,A,31-49,54,10-Jun,Multi Point,AutoStar,
DriveTime-Jacksonville 2,A,50+,83,10-Jun,Multi Point,AutoStar,
DriveTime-Kissimmee,A,31-49,40,10-Jun,Multi Point,AutoStar,
DriveTime-Knoxville,A,50+,72,10-Jun,Multi Point,AutoStar,
DriveTime-Lakeland,A,50+,95,10-Jun,Multi Point,AutoStar,
DriveTime-Lakewood,A,31-49,60,10-Jun,Multi Point,AutoStar,
DriveTime-Langhorne,A,31-49,42,10-Jun,Multi Point,AutoStar,
DriveTime-Las Vegas 1,A,50+,136,10-Jun,Multi Point,AutoStar,
DriveTime-Las Vegas 2,A,50+,86,10-Jun,Multi Point,AutoStar,
DriveTime-Lauderdale Lakes,A,31-49,43,10-Jun,Multi Point,AutoStar,
DriveTime-Laurel,A,31-49,65,10-Jun,Multi Point,AutoStar,
DriveTime-Lewisville,A,50+,119,15-Nov,Multi Point,AutoStar,
DriveTime-Lexington,A,50+,74,10-Jun,Multi Point,AutoStar,
DriveTime-Live Oak,A,31-49,68,10-Jun,Multi Point,AutoStar,
DriveTime-Lombard,A,50+,102,15-Nov,Multi Point,AutoStar,
DriveTime-Louisville,A,50+,70,10-Jun,Multi Point,AutoStar,
DriveTime-Lowell,A,50+,93,10-Jun,Multi Point,AutoStar,
DriveTime - Madison,A,50+,79,10-Jun,Multi Point,AutoStar,
DriveTime-Maple Heights,A,50+,108,15-Nov,Multi Point,AutoStar,
DriveTime-Marietta,A,31-49,60,10-Jun,Multi Point,AutoStar,
DriveTime-McAllen,A,31-49,69,10-Jun,Multi Point,AutoStar,
DriveTime-Memphis,A,31-49,69,10-Jun,Multi Point,AutoStar,
DriveTime-Memphis 1,A,50+,90,10-Jun,Multi Point,AutoStar,
DriveTime-Mesa,A,50+,119,15-Nov,Multi Point,AutoStar,
DriveTime-Miami,A,31-49,50,10-Jun,Multi Point,AutoStar,
DriveTime-Miamisburg,A,50+,121,15-Nov,Multi Point,AutoStar,
DriveTime-Mishawaka,A,31-49,50,10-Jun,Multi Point,AutoStar,
DriveTime-Mobile,A,50+,76,10-Jun,Multi Point,AutoStar,
DriveTime-Montclair,A,31-49,68,10-Jun,Multi Point,AutoStar,
DriveTime-Montgomery,A,31-49,69,10-Jun,Multi Point,AutoStar,
DriveTime-Morrow,A,31-49,54,10-Jun,Multi Point,AutoStar,
DriveTime-New Braunfels,A,31-49,58,10-Jun,Multi Point,AutoStar,
DriveTime-Newport News,A,31-49,56,10-Jun,Multi Point,AutoStar,
DriveTime-Norfolk,A,31-49,48,10-Jun,Multi Point,AutoStar,
DriveTime-North Little Rock,A,50+,90,10-Jun,Multi Point,AutoStar,
DriveTime-Oklahoma City,A,31-49,66,10-Jun,Multi Point,AutoStar,
DriveTime-Olathe,A,50+,89,10-Jun,Multi Point,AutoStar,
DriveTime-Orange Park,A,50+,77,10-Jun,Multi Point,AutoStar,
DriveTime-Orlando 1,A,31-49,54,0-5,Multi,AutoStar,
DriveTime-Orlando 2,A,31-49,58,10-Jun,Multi Point,AutoStar,
DriveTime-Pelham,A,50+,72,10-Jun,Multi Point,AutoStar,
DriveTime-Pensacola,A,50+,111,15-Nov,Multi Point,AutoStar,
DriveTime-Petersburg,A,31-49,54,10-Jun,Multi Point,AutoStar,
DriveTime-Phoenix,A,50+,88,10-Jun,Multi Point,AutoStar,
DriveTime-Pittsburgh,A,50+,80,10-Jun,Multi Point,AutoStar,
DriveTime-Plano,A,31-49,63,10-Jun,Multi Point,AutoStar,
DriveTime-Raleigh,A,50+,97,10-Jun,Multi Point,AutoStar,
DriveTime-Richmond,A,31-49,51,10-Jun,Multi Point,AutoStar,
DriveTime-Riverside,A,50+,71,10-Jun,Multi Point,AutoStar,
DriveTime-Round Rock,A,50+,86,10-Jun,Multi Point,AutoStar,
DriveTime-Salem,A,31-49,67,10-Jun,Multi Point,AutoStar,
DriveTime-San Antonio 1,A,50+,104,15-Nov,Multi Point,AutoStar,
DriveTime-San Antonio 2,A,31-49,68,10-Jun,Multi Point,AutoStar,
DriveTime-Sanford,A,31-49,62,0-5,Multi Point,AutoStar,
DriveTime-Savannah,A,50+,101,10-Jun,Multi,AutoStar,
DriveTime-Schaumburg,A,50+,91,10-Jun,Multi Point,AutoStar,
DriveTime-St.Louis 1,A,50+,98,10-Jun,Multi Point,AutoStar,
DriveTime-St.Louis 2,A,50+,80,10-Jun,Multi Point,AutoStar,
DriveTime-St.Peters,A,50+,90,10-Jun,Multi Point,AutoStar,
DriveTime-Stone Mountain,A,50+,79,10-Jun,Multi Point,AutoStar,
DriveTime-Tallahassee,A,50+,95,10-Jun,Multi Point,AutoStar,
DriveTime-Tampa 1,A,50+,70,10-Jun,Multi Point,AutoStar,
DriveTime-Tampa 2,A,31-49,66,10-Jun,Multi Point,AutoStar,
DriveTime-Temple,A,50+,84,10-Jun,Multi Point,AutoStar,
DriveTime - Temple Hills,A,50+,79,10-Jun,Multi Point,AutoStar,
DriveTime-Torrance,A,31-49,40,10-Jun,Multi Point,AutoStar,
DriveTime-Tucson,A,31-49,57,10-Jun,Multi Point,AutoStar,
DriveTime-Tulsa,A,31-49,40,10-Jun,Multi Point,AutoStar,
DriveTime-Tyler,A,31-49,50,10-Jun,Multi Point,AutoStar,
DriveTime-Union City,A,50+,114,15-Nov,Multi Point,AutoStar,
DriveTime-Warr Acres,A,31-49,60,10-Jun,Multi Point,AutoStar,
DriveTime-Waukegan,A,50+,85,10-Jun,Multi Point,AutoStar,
DriveTime-West Covina,A,31-49,49,10-Jun,Multi Point,AutoStar,
DriveTime-West Palm Beach,A,31-49,64,10-Jun,Multi Point,AutoStar,
DriveTime-Williamstown,A,31-49,60,10-Jun,Multi Point,AutoStar,
DriveTime-WinstonSalem,A,31-49,66,10-Jun,Multi Point,AutoStar,
Drive Today Auto Sales,D,15-Jan,10,0-5,Single,None,
Drive Today Financial,,,,,,,
Drivetoday USA,D,15-Jan,35,0-5,Single,Wayne Reaves,
Driveway Cars,A,50+,80,0-5,Single,DealerSolutions (KGI),
Driveway Motors,no rating,,,,,FEX (FinanceExpress),
DriveWise Auto,,,,,,,
Drive With Desirai,,,,,,,
Drive Zone,D,15-Jan,20,0-5,Single,Wayne Reaves,
Drivin' Dreams,D,15-Jan,20,0-5,Single,None,
Driving Emotions,C,16-30,60,0-5,Single,Other,Lot wizard
Driving Force,,,,,,,
Driving Force,,,,,,,
Driving Force,no rating,,,,,,
Driving Force,no rating,,,,,,
"DRIVING FORCE Vehicle Rentals, Sales & Leasing",,,,,,,
"DRIVING FORCE Vehicle Rentals, Sales & Leasing",,,,,,,
"DRIVING FORCE Vehicle Rentals, Sales & Leasing",,,,,,,
"DRIVING FORCE Vehicle Rentals, Sales & Leasing",,,,,,,
"DRIVING FORCE Vehicle Rentals, Sales & Leasing",,,,,,,
Driving Forward Auto Group,no rating,,,,,,
Driving Your Credit,,,,,,,
DRM Special Used Cars,no rating,,,,,,
Droubay Chevrolet Buick,C,0-100,91,,Single,AutoSoft,
Drouin & FrÃ¨res Inc,,,,,,,
Drouin Automobiles Ltée,no rating,,,,,,
DRS Sales Inc.,B,31-49,100,10-Jun,Single,Other,ScoreKeyper
DRS Wholesalers Inc,,,,,,,
DRU Auto Sales & Service,C,15-Jan,10,0-5,Single,Wayne Reaves,
Druk Auto Sales,B,31-49,50,0-5,Single,Frazer,
Druley Investments Inc.,B,31-49,50,0-5,Single,Other,Affordable Computer Systems
Drumheller Chrysler Ltd,C,300+,700,31-40,Single,,
Drum Hill Ford Inc,B,,254,,,,
Drummer Imports Service & Sales LLC,D,15-Jan,10,0-5,Single,Other,WinWorks
Drummond Auto,no rating,,,,,,
Drummond Brothers Auto Sales,D,15-Jan,15,,,,
Drummondville Volkswagen,no rating,,,,,,
Dr Volvo,No rating,,,,,,
DRW Unlimited Auto Sales,D,15-Jan,5,0-5,Single,None,
Dryden Chevrolet Buick GMC Ltd,no rating,,181,,,,
Dry Fork Auto Sales,D,15-Jan,10,0-5,Single,None,
Dry Ridge Toyota,B,101-175,249,11/15/2015 0:00,Single,ADP,
D S A S Inc.,no rating,,,,,,
D Saulnier Auto Parts Recker,no rating,,,,,,
D S Auto Sales Inc.,B,31-49,50,0-5,Single,None,
DSG Auto,,,,,,,
D Sharpe & Associates Auto Sales,A,31-49,50,0-5,Single,DealerTrack,
DSI Auto Sales,no rating,,,,,,
dsrleasing.com,no rating,,,,,,
Dsu Peterbilt & GMC,No rating,,,,,,
DT's Motors,,,,,,,
DTI Trucks,A,50+,150,31-40,Multi,None,
Dtp Autos Ltd,no rating,,,,,,
DT-Performance Trucks,no rating,,,,,,
D T Powersports,no rating,,,,,,
Dual Auto,D,15-Jan,,0-5,Single,Frazer,
Duane Sparks Chevrolet,B,0-100,61,,Single,ADP,
Duarte Nissan Motor Group LLC,no rating,,383,,,,
Dubai First Auto,C,15-Jan,20,0-5,Single,Frazer,
Dubeau Auto,no rating,,,,,,
Du Beau Toyota,no rating,,,,,,
Dube Garage,no rating,,,,,,
DUBE GARAGE LTD.,no rating,,,,,,
Dube Kia,B,0-100,160,10-Jun,Multi Point,ADP,
Dube Mazda,no rating,,,,,,
Dublin Auto,no rating,,,,,,
Dublin Auto Outlet,A,50+,140,15-Nov,Multi Point,Frazer,
Dublin Auto Sales,B,16-30,100,0-5,Single,DealerSolutions (KGI),
Dublin Auto Superstore,A,0-100,640,,Single,Delete,
Dublin Buick GMC,No rating,,,,,,
Dublin Cadillac,,,,,,,
Dublin Cadillac Nissan GMC T,no rating,101-175,559,15-Nov,Multi Point,ADP,
Dublin Ford Lincoln,B,0-100,124,,Single,AutoSoft,
Dublin Honda,no rating,,509,,Multi Point,ADP,ADP
Dublin Hyundai,A,101-175,358,10-Jun,Multi,Reynolds,
Dublin Infiniti,B,101-175,157,0-5,Multi,ADP,
Dublin Mazda,C,101-175,751,15-Nov,Multi,ADP,
Dublin Nissan,A,101-175,548,15-Nov,Multi,Reynolds,
Dublin Toyota,no rating,,348,,,,
Dublin Volkswagen,A,,189,,,,
Du Bo Automobiles,no rating,,,,,,
Dubois & Freres Limitee,no rating,,,,,,
Dubois Gm,no rating,,,,,,
Du Bois Harley-Davidson,,,,,,,
Dubois Honda,C,0-100,70,0-5,Multi Point,Serti,
Dubois Mazda,D,0-100,86,0-5,Single,Other,
Dubois Pontiac Buick GMC,no rating,,,,,,
Dubon Auto Sales Inc.,no rating,,,,,,
Dubs Auto Sales Inc,no rating,,,,,,
Dubuque Auto Plaza,B,101-175,312,11/15/2015 0:00,Multi,DealerTrack,
Dubuque Data Services (DDS),,,,,,,
Dubuque Hose & Hydraulic Co,,,,,,,
Ducati Richmond,-,,,,,,
Ducharme Motors,no rating,0-100,170,10-Jun,Multi Point,PBS,
DUCHESNE AUTO LTEE,no rating,,,,,,
Duchesne Auto Ltee,no rating,,,,,,
"DUC Imports, Inc",D,15-Jan,20,0-5,Single,None,
Duckett's Auto Sales,D,15-Jan,25,0-5,Single,None,
Ducky's Auto Parts Inc,no rating,,,,,,
Duclos Chrysler Longueuil,no rating,,,,,,
Duclos Toystore,no rating,,,,,,
"Dudley Motors, Inc",D,15-Jan,19,,,,
Dudley Perkins Company Harley-Davidson,,,,,,,
Dueck Chevrolet Buick Cadillac GMC Ltd,A,0-100,828,15-Nov,,ADP,
Dueck Downtown Chevrolet Buick GMC Ltd,A,101-175,828,10-Jun,,ADP,
Dueck Richmond Chevrolet Buick Cadillac GMC Ltd,A,0-100,828,15-Nov,,ADP,
Duell's Evansville Hyundai,no rating,101-175,435,15-Nov,,,
Dufault Et Fils,no rating,,,,,,
Duffy's Auto Brokerage LLC,B,31-49,55,0-5,Single,None,
Duffy's Automotive,,,,,,,
Duffy's Auto Sales,,,,,,,
Duffy's Auto Sales Inc,,,,,,,
Duffy's Collectible Cars Inc.,A,,50,,,,
Duffys Auto Sales,C,16-30,70,0-5,Single,Other,
Dufour Automotive,no rating,,50,,,,
Dufour Truck and Equipment Inc,no rating,,,,,,
Dugas Auto Recyclers-Rebuilder,no rating,,,,,,
Duke's,,,,,,,
Duke's Automotive,D,15-Jan,20,0-5,Single,None,
Duke's Automotive Group,A,,,,,FEX( FinanceExpress),
Duke's Auto Sales - Glyndon,C,15-Jan,10,0-5,Single,None,
Duke's Auto Sales - Rumford,no rating,,20,,,,
Duke's Garage LLC,D,15-Jan,12,0-5,Single,None,
Duke's H-D,,,,,,,
Duke Chevrolet,No rating,,220,,,DealerTrack(Arkona),
