Unique Title Tag Score,Title Tag Content Score,Unique Meta Description Score,Meta Description Length Score,SRP H1 Content Score,Primary Website Provider,Alt. Image Tag Score,Salesforce Unique ID,Account Name,Title Tag Length Score,URL Used for Analysis,OEM Mandated Website,URL Clean/Readable Score,Unique H1 Score,Meta Description Content Score,Website (Primary) URL,Unique URL Score,URL Location Qualifier Score
74,55,74,11,14,null,34,001f100001BOCxfAAH,Gasport Auto Sales,7,http://www.gasportautosales.com/,null,0,77,69,http://www.gasportautosales.com/,55,12
47,85,47,9,0,null,75,001j000000NmXdVAAV,Youngs Motors,24,http://www.youngsmotors.net/,null,0,1,89,www.youngsmotors.net,72,15
0,0,0,0,0,null,0,001j000000NmOt3AAF,Holmes European Motors,0,http://www.holmesmercedes.com/,null,0,0,0,www.holmesmercedes.com,1,0
0,0,0,0,0,null,0,001j000000Q6sHbAAJ,R.H. Cooper & Son Preowned Llc,0,https://rhcooperandson.com/,null,0,0,0,http://www.rhcooperandson.com/,1,0
38,21,44,76,10,null,50,001j000000Q6tkcAAB,Clovis Truck & Trailer Sales,9,http://www.premiertruck.com/,null,0,98,23,http://www.atcwesttexas.com/,98,10
45,51,45,38,7,null,87,001j000000NmQx4AAF,Greg Bell Chevrolet-Cadillac Inc,27,http://www.gregbell.com/,null,0,26,79,www.gregbell.com,45,20
96,54,2,0,33,null,89,001j000000Nmb82AAB,PAG Central Corporate,82,http://www.penskeautomotive.com/,null,0,4,0,www.penskeautomotive.com,94,54
52,81,51,1,32,null,87,001j000000NmXdaAAF,Robert Green Chrysler Dodge Jeep Ram,11,http://www.robertgreenchryslerdodgejeep.com/,null,0,1,92,www.robertgreenchryslerdodgejeep.com,69,14
38,83,40,3,19,null,78,001j000000NmgahAAB,Twin State Ford Inc,12,http://www.twinstateford.net/,null,0,76,96,www.twinstateford.net,83,4
45,74,47,2,13,null,66,001j000000NmQwiAAF,Schafer Chevrolet,44,http://www.schaferchevy.com/,null,0,25,82,www.schaferchevy.com,72,15
5,36,5,2,0,null,88,001j000000Q6k8tAAB,Cannon Motor Company,0,http://www.cannonmotorcompany.com/,null,0,17,66,http://www.cannonmotorcompany.com/,19,0
0,0,0,0,0,null,0,001j000000PbXlwAAF,Charlottetown Toyota,0,http://www.charlottetowntoyota.ca/,null,0,0,0,www.charlottetowntoyota.ca,0,0
15,61,15,7,7,null,18,001f100001BOCyGAAX,Gerry's Used Cars,0,http://www.gerrysusedcars.net/,null,0,61,61,http://www.gerrysusedcars.net/,100,0
0,0,0,0,0,null,0,001j000000NmNPrAAN,Glenn Jones Auto,0,http://www.glennjonesford.com/,null,0,0,0,www.glennjonesford.dealerconnection.com,0,0
63,74,60,8,65,null,80,001j000000NmhD5AAJ,Mojave Chrysler Dodge Jeep Ram of Barstow,57,http://www.mojaveofbarstow.com/,null,0,1,95,www.mojaveofbarstow.com,70,17
0,0,0,0,0,null,0,001j000000NmQwtAAF,Cable Dahmer Noland,0,http://www.cabledahmerind.com/,null,0,0,0,www.chevykc.com,0,0
0,0,0,0,0,null,0,001j000000Nmb94AAB,Gentilini Ford,0,http://www.gentiliniFord.com/,null,0,0,0,www.gentiliniFord.com,0,0
44,41,44,2,3,null,96,001j000000NmgasAAB,The Auto Mall,12,http://www.brattautomall.com/,null,0,22,79,www.brattautomall.com,39,5
0,0,0,0,0,null,0,001j0000014FyoXAAS,Sun City Cars - Mesa,0,http://www.suncitycarsonline.com/,null,0,0,0,http://www.suncitycarsonline.com/,1,0
