Account Name,Dealership City,Dealership State/Province,Dealership Country,basicDealerId,Phone,Dealership Street,Website,Salesforce Matches,Dealership Zip/Postal Code
Touring Sport BMW,Greenville,SC,United States,1143,1431 laurens road,1431 laurens road,http://www.touringsport.com/,"https://dealersocket.my.salesforce.com/001j000000VuEEyAAN
https://dealersocket.my.salesforce.com/001j000000Nmi90AAB
",29607
Santa Fe BMW Motorcycles,Santa Fe,NM,United States,1163,2544 camino edward ortiz,2544 camino edward ortiz,http://www.santafebmw.com/,"https://dealersocket.my.salesforce.com/001j000000NmMrlAAF
",87507
BMW Motorcycles of Walnut Creek,Walnut Creek,CA,United States,1185,1255 parkside dr,1255 parkside dr,http://www.bmwmcwalnutcreek.com/,"https://dealersocket.my.salesforce.com/001f100001A9pNQAAZ
",94596
Sandia BMW Motorcycles,Albuquerque,NM,United States,1161,6001 pan american fwy ne,6001 pan american fwy ne,http://www.sandiabmw.com/,"https://dealersocket.my.salesforce.com/001j000000NmWhxAAF
https://dealersocket.my.salesforce.com/001j000000NmMozAAF
",87109
BMW Motorcycles of Lititz,Lititz,PA,United States,1260,933 lititz pike,933 lititz pike,http://www.bmwmotorcyclesoflititz.com/,"https://dealersocket.my.salesforce.com/001j000000zn9E0AAI
",17543
Trail's End BMW,Fairbanks,AK,United States,1877,1450 karen way,1450 karen way,http://www.outpostalaska.com/,"https://dealersocket.my.salesforce.com/001j0000016zt4IAAQ
",99709
BMW Motorcycles of Utah,Sandy,UT,United States,1215,339 west 9000 south,339 west 9000 south,http://www.bmwmotorcyclesofutah.com/,"https://dealersocket.my.salesforce.com/001j000000NmhjEAAR
",84070
BMW Motorcycles of McDonough,McDonough,GA,United States,1137,755 industrial boulevard,755 industrial boulevard,http://www.bmwmotorcyclesmcdonough.com/,"https://dealersocket.my.salesforce.com/001j000000zmGwNAAU
",30253
Victory BMW,Chandler,AZ,United States,1158,2677 east willis road,2677 east willis road,https://www.ridenowchandler.com/,"https://dealersocket.my.salesforce.com/001j000000zmWgUAAU
",85286
BMW Motorcycles of Pensacola,Pensacola,FL,United States,1135,6330 pensacola boulevard,6330 pensacola boulevard,http://www.adventuremotorsportsofnwf.com/,"https://dealersocket.my.salesforce.com/001j000000w2MSkAAM
",32505
Bob's BMW,Jessup,MD,United States,1256,10720 guilford road,10720 guilford road,http://www.bobsbmw.com/,"https://dealersocket.my.salesforce.com/001j000000y9OQtAAM
",20794
Battley Cycles,Gaithersburg,MD,United States,1255,7830 airpark road,7830 airpark road,http://www.battley.com/,"https://dealersocket.my.salesforce.com/001j00000170PEhAAM
",20879
BMW Motorcycles of Denton,Denton,TX,United States,1155,521 acme street,521 acme street,http://bmw.cyclecenterofdenton.com/default.asp?page=home,"https://dealersocket.my.salesforce.com/001j000000VuGH3AAN
",76205
Northern Colorado Powersports,Fort Collins,CO,United States,1232,1303 sw frontage road,1303 sw frontage road,http://www.coloradoeuro.com/,"https://dealersocket.my.salesforce.com/001j000000Q6kvKAAR
",80524
Towne BMW Motorcycles,Williamsville,NY,United States,1353,8215 main street,8215 main street,,"https://dealersocket.my.salesforce.com/001j000000NmZyMAAV
",14221
European Motorrad,Saskatoon,SK,Canada,2640,2634 faithfull avenue,2634 faithfull avenue,http://www.ffunmotorsports.com/,"https://dealersocket.my.salesforce.com/001j000000NmaqhAAB
",S7K5W3
BMW Toronto,Toronto,ON,Canada,2629,11 sunlight park road,11 sunlight park road,http://www.bmwtoronto.ca/,"https://dealersocket.my.salesforce.com/001j000000gVSfoAAG
https://dealersocket.my.salesforce.com/001j000000NmiH7AAJ
",M4M1B5
"BMW Motorcycles of Western Oregon,",Eugene,OR,United States,1218,2891 west 11th avenue,2891 west 11th avenue,http://www.emcwor.com/,"https://dealersocket.my.salesforce.com/001j0000011Qn2iAAC
",97402
"Mischler's Harley-Davidson, BMW Limited Liability Company",Beaver Dam,WI,United States,1297,n8131 kellom road,n8131 kellom road,http://www.mischlersbmw.com/,"https://dealersocket.my.salesforce.com/001j00000170PJeAAM
",53916
Van-Wall Powersports,Indianola,IA,United States,1293,301 south jefferson way,301 south jefferson way,http://www.vanwallbmw.com/,"https://dealersocket.my.salesforce.com/001j000000zma3lAAA
https://dealersocket.my.salesforce.com/001j000000VuFE6AAN
",50125
Wild West Honda,Katy,TX,United States,1392,22515 katy fwy,22515 katy fwy,http://www.wildwestmotoplex.com/,"https://dealersocket.my.salesforce.com/001j000000VuGLMAA3
",77450
BMW Motorcycles of Nimitz,Honolulu,HI,United States,1292,3149 north nimitz highway,3149 north nimitz highway,http://www.southseascycles.com/,"https://dealersocket.my.salesforce.com/001j000000VuGw0AAF
",96819
BMW Motorcycles of Honolulu,Honolulu,HI,United States,1291,888 kapiolani boulevard,888 kapiolani boulevard,http://www.southseascycles.com/,"https://dealersocket.my.salesforce.com/001j000000VuGw0AAF
https://dealersocket.my.salesforce.com/001j000000NmZGaAAN
https://dealersocket.my.salesforce.com/001j000000NmZF6AAN
",96813
Foothills BMW Motorcycles of Lakewo,Lakewood,CO,United States,1228,1435 wadsworth boulevard,1435 wadsworth boulevard,http://foothillsmotorcycles_TERMED.com/Default.asp,"https://dealersocket.my.salesforce.com/001j000000Q6ksoAAB
",80214
BMW Motorcycles of Spokane,Spokane,WA,United States,1305,4201 south grove road,4201 south grove road,http://www.westsideracing.com/,"https://dealersocket.my.salesforce.com/001j000000VuH13AAF
",99224
BMW Motorcycles of Louisville,Louisville,KY,United States,1327,1700 arthur street,1700 arthur street,http://www.bmwlouisville.com/,"https://dealersocket.my.salesforce.com/001j000000Zi4nTAAR
",40208
"Moon Motor Sales, Inc.",Monticello,MN,United States,1448,3613 chelsea road west,3613 chelsea road west,http://www.moonmotorsports.com/,"https://dealersocket.my.salesforce.com/001j000000VuFR6AAN
",55362
